------------------------+
15:55:44 Device Started.|
 			|
------------------------+
Time, Hum%, *C, *C Heat Index
15:55:46,61.50,24.70,24.83
15:55:48,61.50,24.70,24.83
15:55:50,61.40,24.70,24.83
15:55:52,61.40,24.70,24.83
15:55:54,61.40,24.70,24.83
15:55:56,61.40,24.70,24.83
15:55:58,61.50,24.70,24.83
15:56:00,61.50,24.70,24.83
15:56:02,61.50,24.70,24.83
15:56:04,61.50,24.70,24.83
15:56:06,69.70,24.70,25.05
15:56:08,69.70,24.70,25.05
15:56:10,79.60,24.80,25.41
15:56:12,79.60,24.80,25.41
15:56:14,78.30,24.80,25.38
15:56:16,78.30,24.80,25.38
15:56:18,74.80,24.80,25.29
15:56:20,74.80,24.80,25.29
15:56:22,71.70,24.80,25.21
15:56:24,71.70,24.80,25.21
15:56:26,69.30,24.80,25.14
15:56:28,69.30,24.80,25.14
15:56:30,67.10,24.70,24.98
15:56:32,67.10,24.70,24.98
15:56:34,65.80,24.70,24.94
15:56:36,65.80,24.70,24.94
15:56:38,64.80,24.70,24.92
15:56:40,64.80,24.70,24.92
15:56:42,64.20,24.70,24.90
15:56:44,64.20,24.70,24.90
15:56:46,63.70,24.70,24.89
15:56:48,63.70,24.70,24.89
15:56:50,63.40,24.70,24.88
15:56:52,63.40,24.70,24.88
15:56:54,63.10,24.70,24.87
15:56:56,63.10,24.70,24.87
15:56:58,62.90,24.70,24.87
15:57:00,62.90,24.70,24.87
15:57:02,62.80,24.70,24.87
15:57:04,62.80,24.70,24.87
15:57:06,62.60,24.70,24.86
15:57:08,62.60,24.70,24.86
15:57:10,62.50,24.70,24.86
15:57:12,62.50,24.70,24.86
15:57:14,62.30,24.70,24.85
